id,Name,Date,Long,Lat
0,moth,2000-1-1,121.05205419642857,23.344941477678567
1,moth,2000-4-1,120.9781462032567,23.722187553272672
2,moth,2000-7-1,121.09019688335489,23.57421448380737
3,moth,2000-10-1,121.19388484210525,23.907790157894738
4,moth,2001-1-1,121.63357433333333,25.08452766666667
5,moth,2001-4-1,121.18530000000001,23.538398183752417
6,moth,2001-7-1,121.08685449999999,24.186190500000002
7,moth,2001-10-1,121.30956200000001,24.517570333333335
8,moth,2002-1-1,121.15809525,24.11644725
9,moth,2002-4-1,121.28599550278705,24.37820613043478
10,moth,2002-7-1,121.2218552342441,24.121367560571322
11,moth,2002-10-1,121.40510220000002,24.258592066666665
12,moth,2003-1-1,121.35118114529915,24.319057055902054
13,moth,2003-4-1,121.38086700445456,24.373193929727268
14,moth,2003-7-1,121.43773526231885,24.428068524637684
15,moth,2003-10-1,121.55300298750001,24.64804935
16,moth,2004-1-1,121.06687237637361,23.891333413461542
17,moth,2004-4-1,121.34944197331555,24.38991792966429
18,moth,2004-7-1,121.3069332361111,24.133767166666665
19,moth,2004-10-1,121.37209612000001,24.42828329
20,moth,2005-1-1,121.13276273755658,23.980714350678735
21,moth,2005-4-1,121.24885036051283,24.252623644273505
22,moth,2005-7-1,121.11500079709822,24.13211836138393
23,moth,2005-10-1,121.163034008547,24.144987452991455
24,moth,2006-1-1,121.24027900657893,24.14111880921053
25,moth,2006-4-1,121.2351240828743,24.160039360645197
26,moth,2006-7-1,121.31033391058057,24.16366852334863
27,moth,2006-10-1,121.15931268761656,24.087721892751883
28,moth,2007-1-1,121.1901305588807,24.183384360175765
29,moth,2007-4-1,121.15529898333334,23.928478463078704
30,moth,2007-7-1,121.1010827456287,23.724432419487986
31,moth,2007-10-1,120.90365053378378,23.729210763513514
32,moth,2008-1-1,121.01472284920634,23.902868371031744
33,moth,2008-4-1,121.26852754812069,24.26086500592479
34,moth,2008-7-1,121.08080389153052,24.033368166187653
35,moth,2008-10-1,121.07566821527779,23.961232257638887
36,moth,2009-1-1,121.1327039291962,24.075613318117455
37,moth,2009-4-1,121.14352195072352,24.08121976781079
38,moth,2009-7-1,121.150304570319,24.168772336040043
39,moth,2009-10-1,121.16152012092525,24.16647592276113
40,moth,2010-1-1,121.14513441477145,24.15576606764766
41,moth,2010-4-1,121.1407974993429,24.19777825281406
42,moth,2010-7-1,121.14758508356901,24.017957092602952
43,moth,2010-10-1,121.09607151800286,24.11199363047241
44,moth,2011-1-1,121.11619209587677,23.988947760448458
45,moth,2011-4-1,121.17934519550396,24.186356515667644
46,moth,2011-7-1,121.1419946132924,24.122213270040515
47,moth,2011-10-1,121.08236222986184,23.9864993754295
48,moth,2012-1-1,121.04244711479429,23.9150867618939
49,moth,2012-4-1,121.12951845633461,24.123947553093377
50,moth,2012-7-1,121.10898214843093,24.070147826985725
51,moth,2012-10-1,121.07956934712074,24.064401265662077
52,moth,2013-1-1,121.05229103121269,23.898058850202688
53,moth,2013-4-1,121.08084258689405,24.062327142022756
54,moth,2013-7-1,121.11468564825309,24.09024923190573
55,moth,2013-10-1,121.099057049927,24.05410312584739
56,moth,2014-1-1,121.05185732356455,23.94819443848423
57,moth,2014-4-1,121.10411270961602,24.100791651114392
58,moth,2014-7-1,121.07010344757983,24.016357290027937
59,moth,2014-10-1,121.06953341919053,24.08747935082458
60,moth,2015-1-1,121.05934441624458,24.02264416930186
61,moth,2015-4-1,121.13396336865827,24.148587053035644
62,moth,2015-7-1,121.0995671954463,24.12035751502996
63,moth,2015-10-1,121.03858145237322,24.028924093219004
64,moth,2016-1-1,121.0595610426691,23.98497535206026
65,moth,2016-4-1,121.05193655977476,24.05272059038231
66,moth,2016-7-1,121.0878023041473,24.09108009716956
67,moth,2016-10-1,121.07440320608661,24.126845361346344
68,moth,2017-1-1,121.06221986072804,24.029993074938098
69,moth,2017-4-1,121.08701487536727,24.09415310368558
70,moth,2017-7-1,121.06354188224286,24.04458834244028
71,moth,2017-10-1,121.04782940576706,24.077197677732183
72,moth,2018-1-1,121.04831502819154,24.08201491036241
73,moth,2018-4-1,121.07108627049305,24.060015513448384
74,moth,2018-7-1,121.04883458800619,24.03770646254861
75,moth,2018-10-1,121.02072748002323,23.96750451860544
76,moth,2019-1-1,121.05817076382847,24.026395458794674
77,moth,2019-4-1,121.02352325425117,24.025030760533696
78,moth,2019-7-1,121.06911251577485,24.068590059857634
79,moth,2019-10-1,121.03936500625787,23.985090537459378
80,moth,2020-1-1,121.0535759201281,24.032327078975218
81,moth,2020-4-1,121.03513425057564,24.03795539740519
82,moth,2020-7-1,121.09950897732239,24.103246210415026
83,moth,2020-10-1,121.07981836304566,24.049252473852306
84,moth,2021-1-1,121.08241748705193,24.117941643032697
85,moth,2021-4-1,121.09688239694569,24.098095682169863
86,moth,2021-7-1,121.0993644388987,24.25500760965302
87,moth,2021-10-1,121.0993644388987,24.25500760965302
88,other,2000-1-1,121.528333,24.995278
89,other,2000-4-1,121.13987540000001,23.9661688
90,other,2000-7-1,121.1423335,24.0877945
91,other,2000-10-1,121.59811099999999,24.977555599999995
92,other,2001-1-1,120.93320000000001,23.43666
93,other,2001-4-1,120.93320000000001,23.43666
94,other,2001-7-1,121.574911,24.91405933333333
95,other,2001-10-1,121.222,24.316666666666666
96,other,2002-1-1,121.222,24.316666666666666
97,other,2002-4-1,121.222,24.316666666666666
98,other,2002-7-1,120.9335,23.0417
99,other,2002-10-1,120.991278,22.68745
100,other,2003-1-1,120.991278,22.68745
101,other,2003-4-1,121.104408,23.81578175
